# Williamsburg Handmade Oil Colors (Golden Artist Colors)
#
# COUVERTURE : les 180 teintes de la gamme, au complet - series regulieres, safflower
# (prefixe SF), iridescentes et interference comprises.
#
# PROVENANCE : noms, references, pigments et opacite releves le 15/09/2026 dans les
# donnees de la fiche pigments du fabricant (goldenartistcolors.com/products/
# williamsburg-artist-oil-colors/oil-colors/pigment-data), qui publie pour chaque
# couleur la liste complete de ses index couleur. 170 teintes portent verified=true.
#
# LES 10 AUTRES : les iridescentes et les interference sont declarees "N/A" par le
# fabricant, faute d'index couleur. Elles reprennent le pseudo-code EFFEKT / ALU des
# gammes Schmincke et restent marquees verified=false.
#
# HEX : le fabricant ne publie une valeur colorimetrique que pour 34 teintes, reprises
# telles quelles. Pour les autres on garde le hex de l'ancien fichier quand le nom
# correspond, sinon la case reste vide et la couleur est derivee des pigments.
#
# Les nuanciers peints du fabricant n'ont PAS servi a mesurer les teintes : ce sont des
# photographies d'empatements ou le blanc de titane se lit #D7D7D4. Le biais de clarte
# est d'environ 6 points, bien davantage sur les transparentes, et une correction
# d'exposition calee sur les blancs degrade encore le resultat (ecart median a la
# valeur officielle : 8,6 avant, 9,4 apres).
brand;name;code;pigments;opacity;hex;verified
Williamsburg;Cerulean Blue French;6000857;PB36;SEMI_OPAQUE;;true
Williamsburg;Turquoise;6000863;PW6 PG7 PB15;OPAQUE;;true
Williamsburg;Quinacridone Gold Brown;6000874;PR206 PO48;TRANSPARENT;;true
Williamsburg;Cobalt Turquoise Greenish;6000887;PB36;OPAQUE;;true
Williamsburg;Cobalt Turquoise Bluish;6000907;PB36;OPAQUE;;true
Williamsburg;Cobalt Blue;6000927;PB28;SEMI_OPAQUE;#0052B4;true
Williamsburg;Cobalt Blue Deep;6000937;PB28;SEMI_OPAQUE;;true
Williamsburg;Ultramarine Blue;6000942;PB29;TRANSPARENT;#1C1B7C;true
Williamsburg;Ultramarine Blue French;6000962;PV15 PB29;TRANSPARENT;;true
Williamsburg;Prussian Blue;6000982;PB27;SEMI_TRANSPARENT;#16323C;true
Williamsburg;Indanthrone Blue;6000985;PB60;SEMI_TRANSPARENT;#1E2A52;true
Williamsburg;Phthalo Blue;6001004;PB15;TRANSPARENT;#0E3F73;true
Williamsburg;Bohemian Green Earth;6001021;PY42 PBk11 PR101;OPAQUE;;true
Williamsburg;Phthalo Turquoise;6001024;PG7 PB15;TRANSPARENT;;true
Williamsburg;Indigo;6001043;PBr7 PB27;SEMI_OPAQUE;;true
