# Winsor & Newton - Artists' Oil Colour
#
# COUVERTURE : 130 teintes sur les 137 que publie le fabricant.
#
# PROVENANCE : noms, numeros de couleur, pigments et opacite releves le 15/09/2026
# dans le tableau "Specifications" des fiches produit du fabricant
# (winsornewton.com/collections/artists-oil), qui imprime pour chaque teinte SKU,
# Colour Number, Opacity, Series et Pigment Code. 113 teintes portent verified=true.
#
# NON PUBLIE : 24 teintes n'affichent aucun code pigment - toute la ligne Cadmium-Free
# (formule protegee) et les metalliques. Les metalliques prennent le pseudo-code
# EFFEKT / ALU ; les autres gardent la composition de l'ancien fichier. Toutes sont
# marquees verified=false.
#
# ABSENTES : Transparent Orange, Rose Dore, Cinnabar Green, Mineral Grey,
# Ultramarine Ash, Warm White et Royal Blue. Ni le fabricant ni l'ancien fichier ne
# donnent leur composition, et le chargeur exige au moins un pigment par ligne. Elles
# etaient deja absentes du catalogue precedent. A saisir a la main si vous les possedez.
#
# HEX : W&N ne publie aucune valeur colorimetrique. La colonne reprend celle de
# l'ancien fichier quand le nom correspond, sinon la couleur est derivee des pigments.
brand;name;code;pigments;opacity;hex;verified
Winsor & Newton;Transparent Gold Ochre;646;PY42 PY43;SEMI_TRANSPARENT;#E3AC36;true
Winsor & Newton;Brown Ochre;59;PBr7;SEMI_TRANSPARENT;#BA6D29;true
Winsor & Newton;Burnt Sienna;74;PR101;TRANSPARENT;#7A3A22;true
Winsor & Newton;Transparent Red Ochre;647;PR102;SEMI_TRANSPARENT;#DC7134;true
Winsor & Newton;Light Red;362;PR101;OPAQUE;#A8503A;true
Winsor & Newton;Venetian Red;678;PR101;OPAQUE;#8E4230;true
Winsor & Newton;Terra Rosa;635;PR101;OPAQUE;#AF2025;true
Winsor & Newton;Transparent Maroon;657;PBr25;TRANSPARENT;#AD452F;true
Winsor & Newton;Indian Red;317;PR101;OPAQUE;#8A4A46;true
Winsor & Newton;Mars Violet Deep;395;PR101;OPAQUE;#87202C;true
Winsor & Newton;Warm Brown Pink;413;PY164;OPAQUE;;true
Winsor & Newton;Transparent Brown Oxide;648;PR101;TRANSPARENT;#884D31;true
Winsor & Newton;Burnt Umber;76;PBr7;TRANSPARENT;#4A3427;true
